Date,wavelet_cD,target
2024-03-13,5.059321017686358e-15,1.0
2024-03-14,-1.9209451086387927e-06,0.0
2024-03-15,-9.267760170406092e-16,0.0
2024-03-18,1.3444823226276253e-05,0.0
2024-03-19,2.2573089231148202e-15,0.0
2024-03-20,6.7220755077487294e-06,0.0
2024-03-21,7.298849025172416e-16,0.0
2024-03-22,-4.624765542189874e-05,0.0
2024-03-25,1.3960187172923357e-15,2.0
2024-03-26,6.479610244428244e-05,2.0
2024-03-27,9.93129189996722e-17,0.0
2024-03-28,5.803167789553924e-06,0.0
2024-04-01,3.5687598709532864e-15,0.0
2024-04-02,3.871019215599073e-06,0.0
2024-04-03,1.0625181290357943e-15,0.0
2024-04-04,-4.25747133629582e-05,0.0
2024-04-05,2.533997317533121e-15,1.0
2024-04-08,4.741303924883774e-05,0.0
2024-04-09,1.6835491334354913e-15,0.0
2024-04-10,-6.869961168531804e-05,0.0
2024-04-11,1.5877056613877729e-15,0.0
2024-04-12,-3.2898733805833327e-05,0.0
2024-04-15,3.1138286393783687e-15,0.0
2024-04-16,-2.32223061153395e-05,1.0
2024-04-17,5.2909066017292616e-17,1.0
2024-04-18,3.870347009615922e-06,1.0
2024-04-19,3.200131132308215e-15,0.0
2024-04-22,-1.9355096056322164e-06,1.0
2024-04-23,-1.6653345369377348e-16,2.0
2024-04-24,-1.3546550630717802e-05,0.0
2024-04-25,3.1892891105833602e-15,1.0
2024-04-26,5.128293812051935e-05,1.0
2024-04-29,4.880644499660747e-15,0.0
2024-04-30,-5.805654953444043e-05,2.0
2024-05-02,2.192690473634684e-15,2.0
2024-05-03,3.872632514049373e-05,2.0
2024-05-06,1.749034944653616e-15,2.0
2024-05-07,6.486646016695729e-05,2.0
2024-05-08,1.782428371566169e-16,0.0
2024-05-09,-9.68151406354708e-05,0.0
2024-05-10,2.475450400218904e-15,2.0
2024-05-13,3.872610106901882e-05,1.0
2024-05-14,3.1784470888585048e-15,1.0
2024-05-15,-8.713378338523741e-06,0.0
2024-05-16,-1.3487475025719675e-16,0.0
2024-05-17,9.677548081549366e-07,0.0
2024-05-20,1.647987302177967e-15,0.0
2024-05-21,-1.6459001879381985e-05,0.0
2024-05-22,3.069159509871966e-15,0.0
2024-05-23,-2.8076316840803302e-05,0.0
2024-05-24,2.222614453595284e-15,0.0
2024-05-27,-1.0649560157444027e-05,0.0
2024-05-28,1.7672495411513722e-15,0.0
2024-05-29,-2.129956845054468e-05,1.0
2024-05-31,1.5729605118419698e-15,1.0
2024-06-03,4.239545801902047e-05,1.0
2024-06-04,3.898791012257874e-16,1.0
2024-06-05,-5.812130551933418e-06,0.0
2024-06-06,5.061055741162335e-16,0.0
2024-06-07,-4.359153932108383e-05,0.0
2024-06-10,3.402226417259513e-15,0.0
2024-06-11,3.390525258474076e-05,0.0
2024-06-12,1.1457848558826809e-15,0.0
2024-06-13,-3.1966606004299285e-05,0.0
2024-06-14,3.657664449097098e-15,2.0
2024-06-17,7.362196351351231e-05,2.0
2024-06-18,2.266849902232693e-15,2.0
2024-06-19,2.421717329666997e-05,2.0
2024-06-20,4.345915988190896e-15,0.0
